UF;ESTACAO;LATITUDE;LONGITUDE;ALTITUDE;DATA;DIA;MES;CHUVA_MM;TEMP_MAX;TEMP_MIN;TEMP_MED;UMI_MAX;UMI_MIN;VENTO_MAX_MS
SP;ARIRANHA;-21,13305554;-48,84055555;525,44;01/01/2021;1;1;0;28,5;24,1;26,3;81;59;5,3
SP;ARIRANHA;-21,13305554;-48,84055555;525,44;02/01/2021;2;1;0,2;28,1;23,2;25,65;86;62;6,7
SP;ARIRANHA;-21,13305554;-48,84055555;525,44;03/01/2021;3;1;0;30,7;22,4;26,55;87;52;6,6
SP;ARIRANHA;-21,13305554;-48,84055555;525,44;04/01/2021;4;1;0;31,1;20,3;25,7;86;46;11,3
SP;ARIRANHA;-21,13305554;-48,84055555;525,44;05/01/2021;5;1;0;30,9;24,2;27,55;81;44;7,3
SP;ARIRANHA;-21,13305554;-48,84055555;525,44;06/01/2021;6;1;4;31,2;28,8;30;69;51;7,6
SP;ARIRANHA;-21,13305554;-48,84055555;525,44;07/01/2021;7;1;0;32,1;27,3;29,7;74;47;10
SP;ARIRANHA;-21,13305554;-48,84055555;525,44;08/01/2021;8;1;0;32,4;22,6;27,5;88;46;8,5
SP;ARIRANHA;-21,13305554;-48,84055555;525,44;09/01/2021;9;1;0;33,6;25,7;29,65;81;43;7,5
SP;ARIRANHA;-21,13305554;-48,84055555;525,44;10/01/2021;10;1;0;33,2;25,7;29,45;84;48;4,8
SP;ARIRANHA;-21,13305554;-48,84055555;525,44;11/01/2021;11;1;0;32,7;24,6;28,65;86;48;4,8
SP;ARIRANHA;-21,13305554;-48,84055555;525,44;12/01/2021;12;1;0;31;24,9;27,95;83;59;6,4
SP;ARIRANHA;-21,13305554;-48,84055555;525,44;13/01/2021;13;1;0;31,8;23,2;27,5;93;51;5,8
SP;ARIRANHA;-21,13305554;-48,84055555;525,44;14/01/2021;14;1;0,2;29;22,5;25,75;89;60;10,5
SP;ARIRANHA;-21,13305554;-48,84055555;525,44;15/01/2021;15;1;1,4;29,8;22,7;26,25;91;60;5,2
SP;ARIRANHA;-21,13305554;-48,84055555;525,44;16/01/2021;16;1;0,2;30,1;22,2;26,15;90;53;9,1
SP;ARIRANHA;-21,13305554;-48,84055555;525,44;17/01/2021;17;1;1;26,1;22,8;24,45;89;75;8,5
SP;ARIRANHA;-21,13305554;-48,84055555;525,44;18/01/2021;18;1;0;31,1;24,3;27,7;84;53;8,6
SP;ARIRANHA;-21,13305554;-48,84055555;525,44;19/01/2021;19;1;0,4;32;22;27;92;52;4,6
